,R,horse_id,オッズ,タイム,ペース,レース名,上り,人気,備考,勝ち馬(2着馬),厩舎ｺﾒﾝﾄ,天気,斤量,日付,映像,枠番,着差,着順,賞金,距離,通過,開催,頭数,馬体重,馬場,馬場指数,馬番,騎手,ﾀｲﾑ指数,コースタイプ,ペース前半,ペース後半,馬体重増減
1,1,2016103713,6.7,0:58.8,34.6-35.8,201910010701,35.8,4,"


 
",(メイショウメイリン),"

",晴,56,2019/03/02,"

",2,-0.1,1,500.0,1000,1-1,1小倉7,14,504,稍,"

**

",2,"
藤岡康太
","

**

",ダ,34.6,35.8,+2
2,1,2016103713,2.8,1:00.5,34.5-37.0,201910010101,37.8,1,"


 
",ユニキャラ,"

",小雨,56,2019/02/09,"

",2,0.8,4,75.0,1000,1-1,1小倉1,13,502,稍,"

**

",2,"
藤岡康太
","

**

",ダ,34.5,37.0,0
3,1,2016103713,4.2,1:13.7,35.1-38.1,201808050801,38.5,2,"


 
",レサイヤ,"

",晴,53,2018/11/25,"

",7,0.5,2,200.0,1200,2-2,5京都8,16,502,良,"

**

",13,"
藤田菜七
","

**

",ダ,35.1,38.1,+6
4,2,2016103713,10.0,1:09.5,34.3-34.9,201803030102,35.2,4,"


 
",ナタラディーヴァ,"

",晴,53,2018/11/03,"

",6,0.3,3,130.0,1200,1-2,3福島1,16,496,良,"

**

",12,"
藤田菜七
","

**

",芝,34.3,34.9,-6
5,4,2016103713,5.5,1:11.3,35.2-34.8,201808040704,36.1,3,"


 
",ワールドウォッチ,"

",晴,55,2018/10/21,"

",7,1.3,4,110.0,1200,1-1,4京都7,10,502,良,"

**

",8,"
北村宏司
","

**

",芝,35.2,34.8,0
1,3,2016102207,2.8,1:14.8,35.7-37.8,201907020503,38.6,1,"



",エルズリー,"

",曇,53,2019/03/23,"

",2,1.3,11, ,1200,8-8,2中京5,16,460,良,"

**

",3,"
西村淳也
","

**

",ダ,35.7,37.8,+4
2,1,2016102207,3.8,0:58.9,34.6-35.8,201910010701,35.8,2,"


 
",モズベイビー,"

",晴,56,2019/03/02,"

",4,0.1,2,200.0,1000,2-2,1小倉7,14,456,稍,"

**

",5,"
幸英明
","

**

",ダ,34.6,35.8,+2
3,1,2016102207,3.2,1:00.0,34.5-37.0,201910010101,36.8,2,"


 
",ユニキャラ,"

",小雨,53,2019/02/09,"

",1,0.3,2,200.0,1000,4-3,1小倉1,13,454,稍,"

**

",1,"
西村淳也
","

**

",ダ,34.5,37.0,-4
4,1,2016102207,3.4,1:13.1,35.8-36.9,201809050301,37.1,3,"


 
",ショウブ,"

",晴,55,2018/12/08,"

",7,0.4,5,50.0,1200,2-2,5阪神3,12,458,稍,"

**

",10,"
松若風馬
","

**

",ダ,35.8,36.9,+4
5,6,2016102207,5.8,1:13.1,35.0-37.3,201808050506,37.9,3,"


 
",モンペルデュ,"

",曇,55,2018/11/17,"

",1,0.8,3,180.0,1200,3-2,5京都5,16,454,良,"

**

",1,"
酒井学
","

**

",ダ,35.0,37.3,0
1,3,2016105008,2.8,1:14.1,36.0-38.1,201907020403,37.9,1,"


 
",(コパノジョウオー),"

",曇,51,2019/03/17,"

",7,-0.2,1,500.0,1200,2-3,2中京4,16,424,良,"

**

",14,"
西村淳也
","

**

",ダ,36.0,38.1,-4
2,1,2016105008,3.1,0:59.2,34.6-35.8,201910010701,35.8,1,"



",モズベイビー,"

",晴,51,2019/03/02,"

",3,0.4,3,130.0,1000,5-3,1小倉7,14,428,稍,"

**

",3,"
西村淳也
","

**

",ダ,34.6,35.8,-2
3,1,2016105008,1.8,1:14.2,35.9-38.0,201908020301,38.2,1,"


 
",スナークスター,"

",晴,54,2019/02/02,"

",5,0.3,3,130.0,1200,2-2,2京都3,15,430,稍,"

**

",9,"
Ｍ．デム
","

**

",ダ,35.9,38.0,0
4,1,2016105008,1.3,1:14.9,36.4-38.3,201908020201,38.1,1,"



",シルバークレイン,"

",曇,54,2019/01/27,"

",5,0.2,3,130.0,1200,4-4,2京都2,13,430,良,"

**

",6,"
Ｍ．デム
","

**

",ダ,36.4,38.3,+6
5,1,2016105008,6.4,1:13.0,35.7-37.3,201809050101,37.3,3,"


 
",オーヴェルニュ,"

",晴,54,2018/12/01,"

",8,0.0,3,130.0,1200,1-1,5阪神1,10,424,良,"

**

",9,"
岩田康誠
","

**

",ダ,35.7,37.3,-2
6,6,2016105008,2.4,1:13.2,35.0-37.3,201808050506,37.4,1,"


 
",モンペルデュ,"

",曇,54,2018/11/17,"

",6,0.9,4,110.0,1200,5-5,5京都5,16,426,良,"

**

",12,"
岩田康誠
","

**

",ダ,35.0,37.3,0
1,3,2016101473,16.0,1:15.2,34.5-39.1,201906030203,40.4,7,"


 
",オルクリスト,"

",晴,56,2019/03/24,"

",2,1.6,11, ,1200,4-4,3中山2,16,452,良,"

**

",4,"
丹内祐次
","

**

",ダ,34.5,39.1,-2
2,1,2016101473,7.0,0:59.5,34.6-35.8,201910010701,36.1,5,"



",モズベイビー,"

",晴,56,2019/03/02,"

",3,0.7,4,75.0,1000,5-3,1小倉7,14,454,稍,"

**

",4,"
菱田裕二
","

**

",ダ,34.6,35.8,-6
3,2,2016101473,22.7,0:59.8,34.9-36.5,201910010502,36.5,9,"


 
",ワンネス,"

",晴,56,2019/02/23,"

",6,0.2,2,200.0,1000,2-2,1小倉5,13,460,稍,"

**

",9,"
菱田裕二
","

**

",ダ,34.9,36.5,+6
4,3,2016101473,68.9,1:15.5,35.3-38.4,201907010403,39.4,10,"


 
",イチバンヤリ,"

",晴,56,2019/01/27,"

",5,1.8,7, ,1200,4-4,1中京4,15,454,良,"

**

",9,"
中井裕二
","

**

",ダ,35.3,38.4,-12
5,3,2016101473,63.5,1:14.5,34.5-38.9,201906010703,39.3,10,"


 
",トピアリスト,"

",晴,55,2019/01/20,"

",2,1.1,10, ,1200,8-8,1中山7,15,466,良,"

**

",4,"
武藤雅
","

**

",ダ,34.5,38.9,0
6,3,2016101473,21.2,1:14.1,34.1-38.1,201806050503,39.1,6,"


 
",オルダージュ,"

",晴,54,2018/12/15,"

",8,1.9,8, ,1200,11-11,5中山5,16,466,稍,"

**

",16,"
武藤雅
","

**

",ダ,34.1,38.1,+12
7,2,2016101473,46.9,1:13.2,35.3-36.9,201804030402,37.4,7,"


 
",ロンドンテソーロ,"

",晴,55,2018/10/21,"

",8,1.0,4,75.0,1200,5-4,3新潟4,14,454,稍,"

**

",14,"
西田雄一
","

**

",ダ,35.3,36.9,+6
8,2,2016101473,31.9,1:11.9,34.2-34.4,201806040402,35.3,7,"



",ホウオウカトリーヌ,"

",曇,54,2018/09/16,"

",2,3.3,16, ,1200,16-16,4中山4,16,448,稍,"

**

",4,"
田辺裕信
","

**

",芝,34.2,34.4,+2
9,5,2016101473,33.4,1:11.7,34.5-35.7,201803020105,37.1,8,"


 
",ハナブショウ,"

",晴,54,2018/06/30,"

",8,1.5,7, ,1200,2-2,2福島1,12,446,良,"

**

",12,"
西田雄一
","

**

",芝,34.5,35.7,0
1,3,2016100180,22.3,1:13.7,35.7-37.8,201907020503,37.7,8,"


 
",エルズリー,"

",曇,54,2019/03/23,"

",2,0.2,3,130.0,1200,5-5,2中京5,16,454,良,"

**

",4,"
鮫島克駿
","

**

",ダ,35.7,37.8,+2
2,1,2016100180,5.4,0:59.6,34.6-35.8,201910010701,35.9,3,"



",モズベイビー,"

",晴,51,2019/03/02,"

",6,0.8,5,50.0,1000,8-9,1小倉7,14,452,稍,"

**

",10,"
斎藤新
","

**

",ダ,34.6,35.8,0
3,2,2016100180,6.2,1:00.5,34.6-37.5,201910010302,36.2,3,"



",サトノアイビス,"

",曇,54,2019/02/16,"

",3,0.0,2,200.0,1000,12-12,1小倉3,14,452,稍,"

**

",4,"
鮫島克駿
","

**

",ダ,34.6,37.5,-14
4,1,2016100180,25.7,1:26.2,35.3-37.7,201809050701,38.7,8,"


 
",ペイシャクレア,"

",雨,54,2018/12/22,"

",7,1.2,9, ,1400,2-2,5阪神7,16,466,稍,"

**

",13,"
武豊
","

**

",ダ,35.3,37.7,-6
5,2,2016100180,5.2,1:56.8,38.1-38.4,201809050302,40.2,3,"


 
",メスキータ,"

",晴,54,2018/12/08,"

",8,1.8,4,75.0,1800,2-2-2-2,5阪神3,9,472,稍,"

**

",8,"
武豊
","

**

",ダ,38.1,38.4,+4
6,4,2016100180,20.5,1:50.7,37.7-33.5,201805050804,34.6,6,"


 
",ラストドラフト,"

",晴,54,2018/11/25,"

",6,1.1,6, ,1800,1-1-1,5東京8,11,468,良,"

**

",6,"
武豊
","

**

",芝,37.7,33.5,0
1,1,2016106213,35.1,0:59.9,34.6-35.8,201910010701,36.6,9,"


 
",モズベイビー,"

",晴,56,2019/03/02,"

",7,1.1,6, ,1000,3-3,1小倉7,14,486,稍,"

**

",11,"
小崎綾也
","

**

",ダ,34.6,35.8,-2
2,1,2016106213,113.3,1:14.5,35.8-38.1,201908010701,38.3,12,"


 
",アスカノダイチ,"

",雨,56,2019/01/20,"

",3,0.6,7, ,1200,5-5,1京都7,16,488,良,"

**

",6,"
柴山雄一
","

**

",ダ,35.8,38.1,-2
3,2,2016106213,40.6,1:14.5,36.1-37.0,201908010302,37.8,7,"


 
",タガノコルソ,"

",曇,56,2019/01/12,"

",7,1.4,7, ,1200,7-7,1京都3,15,490,良,"

**

",14,"
和田竜二
","

**

",ダ,36.1,37.0,-2
4,6,2016106213,176.0,1:14.5,35.5-37.3,201809050506,37.6,12,"



",プリンシアルーチェ,"

",晴,55,2018/12/15,"

",7,1.7,9, ,1200,10-10,5阪神5,16,492,良,"

**

",13,"
小牧太
","

**

",ダ,35.5,37.3,0
